journal_id,title,issn,lang,years,database
"46775","24X7 (Online)","1091-1626","西文","2006-present","ProQuest 【電子期刊】"
"48634","24x7 Magazine [BLOG]","","西文","5/3/2018+","ProQuest 【電子期刊】"
"48635","3D Printing in Medicine","2365-6271","西文","12/1/2015+","ProQuest 【電子期刊】"
"49903","The 10th AHLA International Health Literacy Conference: Health Literacy in the Revolution of the Digital Age","","西文","20240701-present","Airiti Library 【華藝中文電子期刊】"
"37540","A&A Case Reports","2325-7237","西文","2013-2017","OVID 【電子期刊】"
"38637","AACE Clinical Case Reports","2376-0605","西文","2015-present","ClinicalKey 【電子期刊&電子書】"
"37541","AACN Advanced Critical Care","1559-7768","西文","2010-2015","OVID 【電子期刊】"
"45280","AANA Journal","0094-6354","西文","2004-present","ProQuest 【電子期刊】"
"51142","AAPS Journal, The","1550-7416","西文","8/1/2024+","ProQuest 【電子期刊】"
"48636","AAPS Open","2364-9534","西文","12/1/2015+","ProQuest 【電子期刊】"
"51143","AAPS PharmSciTech","1530-9932","西文","1/1/2023+","ProQuest 【電子期刊】"
"18111","Abdominal imaging","0942-8925","西文","20030501-20151201","MEDLINE電子期刊"
"18112","Abdominal radiology","2366-004X","西文","20160101-","MEDLINE電子期刊"
"45288","Abdominal Radiology","2366-004X","西文","2000-present","ProQuest 【電子期刊】"
"49507","Abdominal Radiology","2366-004X","西文","1997-present","Springer 【電子期刊】"
"45281","ABNF Journal","1046-7041","西文","1999-present","ProQuest 【電子期刊】"
"37546","Academic Medicine","1040-2446","西文","2000.01-present","OVID 【電子期刊】"
"38713","Academic Pathology","2374-2895","西文","2014-present","ClinicalKey 【電子期刊&電子書】"
"48637","Academic Pathology","2374-2895","西文","1/1/2016-1/1/2021","ProQuest 【電子期刊】"
"18113","Academic pediatrics","1876-2859","西文","20090101-","MEDLINE電子期刊"
"38474","Academic Pediatrics","1876-2859","西文","2009.01-present","ClinicalKey 【電子期刊&電子書】"
"45289","Academic Pediatrics","1876-2859","西文","2005-2010","ProQuest 【電子期刊】"
"45290","Academic Psychiatry","1042-9670","西文","1998-2013","ProQuest 【電子期刊】"
"38475","Academic Radiology","1076-6332","西文","2007.01-present","ClinicalKey 【電子期刊&電子書】"
"46776","Academy of Health Care Management Journal","1559-7628","西文","2006-2013","ProQuest 【電子期刊】"
"47003","Academy of Management Journal","0001-4273","西文","1987-2001","ProQuest 【電子期刊】"
"47004","Academy of Management Journal (pre-1986)","0001-4273","西文","1963-1985","ProQuest 【電子期刊】"
"47005","Academy of Management. The Academy of Management Review","0363-7425","西文","1987-2005","ProQuest 【電子期刊】"
"47006","Academy of Management. The Academy of Management Review (pre-1986)","0363-7425","西文","1976-1985","ProQuest 【電子期刊】"
"47156","Accent on Living","0001-4508","西文","1994-2001","ProQuest 【電子期刊】"
"18114","ACP journal club","1056-8751","西文","20020101-","MEDLINE電子期刊"
"45282","ACP Journal Club","1056-8751","西文","2002-2006","ProQuest 【電子期刊】"
"48638","ACR Open Rheumatology","2578-5745","西文","3/1/2019+","ProQuest 【電子期刊】"
"37542","ACSM'S Health & Fitness Journal","1091-5397","西文","2004-present","OVID 【電子期刊】"
"51144","Acta Academiae Medicinae Wuhan = Wu-han i hsueeh yuean hsueeh pao","0253-3316","西文","2/1/2023+","ProQuest 【電子期刊】"
"46782","Acta Agriculturae Slovenica","1581-9175","西文","2007-2013","ProQuest 【電子期刊】"
"18115","Acta anaesthesiologica Scandinavica","0001-5172","西文","19990101-","MEDLINE電子期刊"
"37420","Acta Anaesthesiologica Sinica","0254-1319","西文","19900301-20031201","Airiti Library 【華藝中文電子期刊】"
"35932","Acta Anaesthesiologica Taiwanica","0254-1319","西文","20041201-20100201","Airiti Library 【華藝中文電子期刊】"
"18116","Acta biochimica et biophysica Sinica","1672-9145","西文","20040101-","MEDLINE電子期刊"
"45291","Acta Biotheoretica","0001-5342","西文","1997-2018","ProQuest 【電子期刊】"
"37381","Acta Botanica Taiwanica","","西文","19471001-19471001","Airiti Library 【華藝中文電子期刊】"
"35934","Acta Cardiologica Sinica","1011-6842","西文","20031201-present","Airiti Library 【華藝中文電子期刊】"
"47026","Acta Chimica Slovaca","1337-978X","西文","2012-present","ProQuest 【電子期刊】"
"18117","Acta chirurgica Iugoslavica","0354-950X","西文","20080301-","MEDLINE電子期刊"
"47832","Acta Chirurgica Latviensis","1407-981X","西文","2009-present","ProQuest 【電子期刊】"
"45292","Acta Clinica Belgica","0001-5512","西文","2011-2016","ProQuest 【電子期刊】"
"18118","Acta crystallographica. Section D, Biological crystallography","0907-4449","西文","20000101-20071201","MEDLINE電子期刊"
"18119","Acta crystallographica. Section F, Structural biology and crystallization communications","1744-3091","西文","20050101-20071201","MEDLINE電子期刊"
"18120","Acta dermato-venereologica","0001-5555","西文","19980401-","MEDLINE電子期刊"
